Type_annonce,Nombre_pieces,Prix,Adresse,Image_link
Vente,6,15000000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_4509580_uploaded_image1_1703190150.jpg
Vente,4,35000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4509579_uploaded_image1_1703190088.jpg
Location,4,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509533_uploaded_image1_1703187207.jpg
Vente,6,90000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509349_uploaded_image1_1703179072.jpg
Vente,3,19000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4508834_uploaded_image1_1703161573.jpg
Vente,5,270000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4494296_uploaded_image1_1702283874.jpg
Vente,5,36000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4508186_uploaded_image1_1703118532.jpg
Vente,2,12500000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4507655_uploaded_image1_1703086769.jpg
Location,4,200000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4507543_uploaded_image1_1703082356.jpg
Location,6,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4468013_uploaded_image1_1700658144.jpg
Location,6,1390000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4468257_uploaded_image1_1700667745.jpg
Vente,3,40000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4505974_uploaded_image1_1702996325.jpg
Vente,11,140000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4505840_uploaded_image1_1702991512.jpg
Location,5,650000,"Gueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467855_uploaded_image1_1700651709.jpg
Vente,4,150000000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467848_uploaded_image1_1700651519.jpg
Vente,4,35000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4505103_uploaded_image1_1702936810.jpg
Vente,6,185000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4466648_uploaded_image1_1700573224.jpg
Vente,3,27000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4469523_uploaded_image1_1700745945.jpg
Vente,4,260000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4469501_uploaded_image1_1700744736.jpg
